history_id,entity_type,entity_id,effective_date,price,currency,baseline_price,demand_index,occupancy_pct,lead_time_factor,seasonality_factor,event_factor,competitor_factor,bound_clamped,explanation,computed_at
phs_922f7473,room_type,rmt_ca391f47,2026-07-14,2993.76,BTN,3313.88,0.786,48.49,1.159,0.756,1,0.992,0,demand 0.79 x lead 1.16 x season 0.76 x event 1.00 x competitor 0.99,2026-07-14T03:00:00+05:30
phs_4824e1d0,room_type,rmt_ca391f47,2026-07-15,2485.41,BTN,3313.88,0.586,43.63,1.072,0.759,1,1.065,1,demand 0.59 x lead 1.07 x season 0.76 x event 1.00 x competitor 1.06 (clamped to bound),2026-07-15T03:00:00+05:30
phs_e08b34bc,room_type,rmt_ca391f47,2026-07-16,2485.41,BTN,3313.88,0.623,37.47,1.089,0.762,1,0.943,1,demand 0.62 x lead 1.09 x season 0.76 x event 1.00 x competitor 0.94 (clamped to bound),2026-07-16T03:00:00+05:30
phs_08a2deb7,room_type,rmt_ca391f47,2026-07-17,3448.75,BTN,3313.88,0.792,39.8,1.031,0.766,1.22,1.044,0,demand 0.79 x lead 1.03 x season 0.77 x event 1.22 x competitor 1.04,2026-07-17T03:00:00+05:30
phs_ae8c3e36,room_type,rmt_ca391f47,2026-07-18,3001.38,BTN,3313.88,0.875,56.17,0.974,0.769,1,1.063,0,demand 0.87 x lead 0.97 x season 0.77 x event 1.00 x competitor 1.06,2026-07-18T03:00:00+05:30
phs_b18810c1,room_type,rmt_ca391f47,2026-07-19,2756.15,BTN,3313.88,0.73,35.01,0.97,0.772,1.22,0.963,0,demand 0.73 x lead 0.97 x season 0.77 x event 1.22 x competitor 0.96,2026-07-19T03:00:00+05:30
phs_e9efe4d8,room_type,rmt_ca391f47,2026-07-20,2485.41,BTN,3313.88,0.679,40.4,1.032,0.776,1,1.047,1,demand 0.68 x lead 1.03 x season 0.78 x event 1.00 x competitor 1.05 (clamped to bound),2026-07-20T03:00:00+05:30
phs_eeeb8b68,room_type,rmt_ca391f47,2026-07-21,3222.09,BTN,3313.88,0.845,42.16,1.152,0.779,1,0.999,0,demand 0.84 x lead 1.15 x season 0.78 x event 1.00 x competitor 1.00,2026-07-21T03:00:00+05:30
phs_b4b57d48,room_type,rmt_ca391f47,2026-07-22,3089.86,BTN,3313.88,0.776,43.18,1.163,0.783,1,1.033,0,demand 0.78 x lead 1.16 x season 0.78 x event 1.00 x competitor 1.03,2026-07-22T03:00:00+05:30
phs_570b06c8,room_type,rmt_ca391f47,2026-07-23,2485.41,BTN,3313.88,0.746,45.16,1.052,0.786,1,0.945,1,demand 0.75 x lead 1.05 x season 0.79 x event 1.00 x competitor 0.94 (clamped to bound),2026-07-23T03:00:00+05:30
