transfer_id,city_id,from_label,to_label,mode,duration_minutes,distance_km,cost,currency,carbon_kg,capacity_pax,accessible,status,updated_at
trf_ac8472c0,cty_c07454f1,Port,Business park,bus,234,117.123,391.37,INR,7.964,3,1,active,2026-08-18T10:00:00+05:30
trf_a27e7227,cty_c07454f1,Railway station,Hill resort,auto_rickshaw,80,36.018,616.28,INR,3.458,6,1,active,2026-08-18T10:00:00+05:30
trf_33956d22,cty_c07454f1,City centre,Hotel district,train,71,71.283,182.57,INR,2.923,4,0,active,2026-08-18T10:00:00+05:30
trf_07334f37,cty_c07454f1,Bus terminus,Beach road,ferry,152,53.201,465.61,INR,6.118,4,1,active,2026-08-18T10:00:00+05:30
trf_e2fcd45d,cty_c07454f1,Airport,Old town,train,31,31.403,102.81,INR,1.288,80,1,active,2026-08-18T10:00:00+05:30
trf_6b374279,cty_5d572c8a,Port,Hill resort,train,60,60.828,161.66,INR,2.494,6,0,active,2026-08-18T10:00:00+05:30
trf_be5605e5,cty_5d572c8a,Port,Hill resort,auto_rickshaw,165,74.536,1232.58,INR,7.156,3,1,active,2026-08-18T10:00:00+05:30
trf_82d525d0,cty_5d572c8a,Railway station,Old town,ferry,45,15.995,167.96,INR,1.839,40,0,active,2026-08-18T10:00:00+05:30
trf_c6cfdeb2,cty_5d572c8a,Airport,Old town,bus,9,4.79,54.37,INR,0.326,6,0,active,2026-08-18T10:00:00+05:30
trf_686181e3,cty_5d572c8a,City centre,Old town,ferry,53,18.887,191.10,INR,2.172,3,1,active,2026-08-18T10:00:00+05:30
trf_084acb1b,cty_076e8e86,Railway station,Beach road,train,57,57.096,154.19,INR,2.341,40,1,active,2026-08-18T10:00:00+05:30
trf_5b43c844,cty_076e8e86,Port,Hotel district,auto_rickshaw,260,117.041,1912.66,INR,11.236,6,1,active,2026-08-18T10:00:00+05:30
trf_9bb23a35,cty_076e8e86,City centre,Business park,bus,42,21.218,103.65,INR,1.443,80,1,active,2026-08-18T10:00:00+05:30
trf_dbd00165,cty_076e8e86,Airport,Hill resort,ferry,266,93.37,786.96,INR,10.738,80,1,active,2026-08-18T10:00:00+05:30
trf_fe657cbf,cty_076e8e86,Bus terminus,Old town,auto_rickshaw,225,101.387,1662.19,INR,9.733,6,0,active,2026-08-18T10:00:00+05:30
trf_5d9083ce,cty_10cbee86,Airport,Hotel district,ferry,89,31.406,291.25,INR,3.612,4,0,active,2026-08-18T10:00:00+05:30
trf_eb21d2d2,cty_10cbee86,Airport,Beach road,ferry,172,60.508,524.07,INR,6.958,6,1,active,2026-08-18T10:00:00+05:30
trf_d46e3695,cty_10cbee86,Port,Business park,bus,106,53.328,199.99,INR,3.626,4,0,active,2026-08-18T10:00:00+05:30
trf_9b78466f,cty_10cbee86,Airport,Business park,auto_rickshaw,80,36.373,621.97,INR,3.492,3,0,active,2026-08-18T10:00:00+05:30
trf_038c0713,cty_10cbee86,Railway station,Old town,train,80,80.503,201.01,INR,3.301,80,0,active,2026-08-18T10:00:00+05:30
trf_0de63a87,cty_b43cdd57,Railway station,Hill resort,bus,22,11.392,74.18,INR,0.775,40,1,active,2026-08-18T10:00:00+05:30
trf_d96b66dc,cty_b43cdd57,Port,Beach road,auto_rickshaw,45,20.277,364.43,INR,1.947,6,0,active,2026-08-18T10:00:00+05:30
trf_d770c8ea,cty_b43cdd57,Railway station,Business park,auto_rickshaw,242,109.006,1784.09,INR,10.465,80,1,active,2026-08-18T10:00:00+05:30
trf_c1f46bb1,cty_b43cdd57,City centre,Business park,auto_rickshaw,220,99.351,1629.61,INR,9.538,3,0,active,2026-08-18T10:00:00+05:30
trf_6aae2527,cty_b43cdd57,Railway station,Hotel district,cab,21,15.247,375.44,INR,2.607,3,1,active,2026-08-18T10:00:00+05:30
trf_0100fa98,cty_c97e6cd5,Airport,Old town,auto_rickshaw,68,30.836,533.38,INR,2.96,40,0,active,2026-08-18T10:00:00+05:30
trf_bc2c79fb,cty_c97e6cd5,Bus terminus,Business park,bus,133,66.882,240.65,INR,4.548,40,0,active,2026-08-18T10:00:00+05:30
trf_c682127d,cty_c97e6cd5,Bus terminus,Hotel district,auto_rickshaw,132,59.844,997.51,INR,5.745,3,1,active,2026-08-18T10:00:00+05:30
trf_26ff986c,cty_c97e6cd5,Port,Hotel district,cab,147,103.451,2315.93,INR,17.69,4,1,active,2026-08-18T10:00:00+05:30
trf_3a2fa4fc,cty_c97e6cd5,City centre,Hill resort,ferry,106,37.125,337.00,INR,4.269,40,0,active,2026-08-18T10:00:00+05:30
trf_848245df,cty_5698a7ab,Railway station,Hill resort,train,86,86.013,212.03,INR,3.527,80,0,active,2026-08-18T10:00:00+05:30
trf_b95a8978,cty_5698a7ab,Airport,Old town,ferry,68,24.019,232.16,INR,2.762,3,0,active,2026-08-18T10:00:00+05:30
trf_302e937e,cty_5698a7ab,Bus terminus,Old town,bus,161,80.661,281.98,INR,5.485,40,0,active,2026-08-18T10:00:00+05:30
trf_d90804b9,cty_5698a7ab,Port,Old town,train,43,43.586,127.17,INR,1.787,3,1,active,2026-08-18T10:00:00+05:30
trf_3b7f5019,cty_5698a7ab,Port,Hill resort,bus,169,84.632,293.90,INR,5.755,4,0,active,2026-08-18T10:00:00+05:30
trf_f0394b7e,cty_0b92e2e7,Port,Hotel district,ferry,52,18.467,187.74,INR,2.124,40,0,active,2026-08-18T10:00:00+05:30
trf_cbf47319,cty_0b92e2e7,Railway station,Hotel district,auto_rickshaw,50,22.802,404.83,INR,2.189,4,1,active,2026-08-18T10:00:00+05:30
trf_0d6363b9,cty_0b92e2e7,Railway station,Business park,ferry,198,69.557,596.46,INR,7.999,6,0,active,2026-08-18T10:00:00+05:30
trf_2fff2c80,cty_0b92e2e7,Airport,Beach road,ferry,116,40.849,366.79,INR,4.698,4,0,active,2026-08-18T10:00:00+05:30
trf_6942b22c,cty_0b92e2e7,Railway station,Beach road,auto_rickshaw,136,61.378,1022.05,INR,5.892,4,0,active,2026-08-18T10:00:00+05:30
trf_0fb843bb,cty_0d062a51,Railway station,Business park,bus,27,13.982,81.95,INR,0.951,4,0,active,2026-08-18T10:00:00+05:30
trf_96f0cba5,cty_0d062a51,Railway station,Hill resort,ferry,38,13.431,147.45,INR,1.545,40,1,active,2026-08-18T10:00:00+05:30
trf_b9e51ed9,cty_0d062a51,Airport,Beach road,bus,110,55.226,205.68,INR,3.755,6,1,active,2026-08-18T10:00:00+05:30
trf_9cc4dd79,cty_0d062a51,Port,Hotel district,auto_rickshaw,80,36.228,619.64,INR,3.478,80,0,active,2026-08-18T10:00:00+05:30
trf_16e21a45,cty_0d062a51,Airport,Hill resort,auto_rickshaw,127,57.321,957.13,INR,5.503,6,0,active,2026-08-18T10:00:00+05:30
trf_92f71b6a,cty_32e8e65c,City centre,Business park,ferry,96,33.875,311.00,INR,3.896,3,1,active,2026-08-18T10:00:00+05:30
