availability_id,guide_id,for_date,is_available,slots_available,price_multiplier,updated_at
gav_3e60e774,gid_d03d6531,2026-09-01,0,0,1.1,2026-08-18T10:00:00+05:30
gav_0bbee8b3,gid_d03d6531,2026-09-02,1,2,1.1,2026-08-18T10:00:00+05:30
gav_fb232cf3,gid_d03d6531,2026-09-03,1,2,1,2026-08-18T10:00:00+05:30
gav_12fa81ff,gid_d03d6531,2026-09-04,1,2,1,2026-08-18T10:00:00+05:30
gav_18c8f3e6,gid_d03d6531,2026-09-05,1,1,1.25,2026-08-18T10:00:00+05:30
gav_d9662c87,gid_d03d6531,2026-09-06,1,1,1.25,2026-08-18T10:00:00+05:30
gav_38eddced,gid_d03d6531,2026-09-07,0,0,1,2026-08-18T10:00:00+05:30
gav_bcce73e8,gid_d03d6531,2026-09-08,1,1,1,2026-08-18T10:00:00+05:30
gav_70b737aa,gid_d03d6531,2026-09-09,0,0,1.1,2026-08-18T10:00:00+05:30
gav_fefb431e,gid_d03d6531,2026-09-10,1,1,1,2026-08-18T10:00:00+05:30
gav_e5d6ad79,gid_d03d6531,2026-09-11,1,1,1,2026-08-18T10:00:00+05:30
gav_b17b4768,gid_d03d6531,2026-09-12,0,0,1.25,2026-08-18T10:00:00+05:30
gav_38f1f5e4,gid_d03d6531,2026-09-13,1,2,1.25,2026-08-18T10:00:00+05:30
gav_e35320eb,gid_d03d6531,2026-09-14,1,2,1,2026-08-18T10:00:00+05:30
gav_c25fcdd2,gid_d03d6531,2026-09-15,1,1,1,2026-08-18T10:00:00+05:30
gav_36ee36de,gid_d03d6531,2026-09-16,1,2,1.1,2026-08-18T10:00:00+05:30
gav_9f019c64,gid_d03d6531,2026-09-17,1,1,1,2026-08-18T10:00:00+05:30
gav_ceab14f7,gid_d03d6531,2026-09-18,1,1,1.1,2026-08-18T10:00:00+05:30
gav_3c81e16c,gid_d03d6531,2026-09-19,1,2,1.25,2026-08-18T10:00:00+05:30
gav_d4c34b0b,gid_d03d6531,2026-09-20,1,1,1.25,2026-08-18T10:00:00+05:30
gav_862d6d9d,gid_d03d6531,2026-09-21,1,2,1.1,2026-08-18T10:00:00+05:30
gav_91882754,gid_d03d6531,2026-09-22,1,1,1.1,2026-08-18T10:00:00+05:30
gav_a038bad4,gid_d03d6531,2026-09-23,1,2,1,2026-08-18T10:00:00+05:30
gav_61ec2d73,gid_d03d6531,2026-09-24,1,2,1,2026-08-18T10:00:00+05:30
gav_e93e67e9,gid_d03d6531,2026-09-25,0,0,1.1,2026-08-18T10:00:00+05:30
gav_e682efb2,gid_d03d6531,2026-09-26,1,2,1.25,2026-08-18T10:00:00+05:30
gav_51626a53,gid_d03d6531,2026-09-27,1,1,1.35,2026-08-18T10:00:00+05:30
gav_610ed9de,gid_d03d6531,2026-09-28,1,2,1.1,2026-08-18T10:00:00+05:30
gav_1a528145,gid_d03d6531,2026-09-29,1,1,1,2026-08-18T10:00:00+05:30
gav_998efc86,gid_d03d6531,2026-09-30,1,2,1.1,2026-08-18T10:00:00+05:30
gav_03dbf374,gid_99f76657,2026-09-01,1,2,1,2026-08-18T10:00:00+05:30
gav_ab776f93,gid_99f76657,2026-09-02,1,1,1.1,2026-08-18T10:00:00+05:30
gav_f8cb70a6,gid_99f76657,2026-09-03,0,0,1.1,2026-08-18T10:00:00+05:30
gav_76ac655a,gid_99f76657,2026-09-04,1,2,1,2026-08-18T10:00:00+05:30
gav_cd328555,gid_99f76657,2026-09-05,1,1,1.25,2026-08-18T10:00:00+05:30
gav_79fa51b6,gid_99f76657,2026-09-06,1,1,1.25,2026-08-18T10:00:00+05:30
gav_c359c2f0,gid_99f76657,2026-09-07,1,2,1,2026-08-18T10:00:00+05:30
gav_ce5a4664,gid_99f76657,2026-09-08,1,2,1,2026-08-18T10:00:00+05:30
gav_5d06a848,gid_99f76657,2026-09-09,1,1,1,2026-08-18T10:00:00+05:30
gav_d4a0431e,gid_99f76657,2026-09-10,1,1,1,2026-08-18T10:00:00+05:30
gav_a8bc9e29,gid_99f76657,2026-09-11,1,2,1,2026-08-18T10:00:00+05:30
gav_de270e02,gid_99f76657,2026-09-12,1,1,1.25,2026-08-18T10:00:00+05:30
gav_159c573d,gid_99f76657,2026-09-13,0,0,1.35,2026-08-18T10:00:00+05:30
gav_d40a1bae,gid_99f76657,2026-09-14,1,1,1,2026-08-18T10:00:00+05:30
gav_5a3250d5,gid_99f76657,2026-09-15,0,0,1,2026-08-18T10:00:00+05:30
gav_9954e407,gid_99f76657,2026-09-16,1,2,1,2026-08-18T10:00:00+05:30
gav_ef27be4a,gid_99f76657,2026-09-17,1,1,1.1,2026-08-18T10:00:00+05:30
gav_f6402233,gid_99f76657,2026-09-18,1,2,1,2026-08-18T10:00:00+05:30
gav_c219d9f2,gid_99f76657,2026-09-19,0,0,1.35,2026-08-18T10:00:00+05:30
gav_9e0b3411,gid_99f76657,2026-09-20,0,0,1.25,2026-08-18T10:00:00+05:30
gav_5746c355,gid_99f76657,2026-09-21,0,0,1,2026-08-18T10:00:00+05:30
gav_b7f64081,gid_99f76657,2026-09-22,0,0,1.1,2026-08-18T10:00:00+05:30
gav_8465f975,gid_99f76657,2026-09-23,1,2,1,2026-08-18T10:00:00+05:30
gav_66c70fed,gid_99f76657,2026-09-24,0,0,1.1,2026-08-18T10:00:00+05:30
gav_f4145e81,gid_99f76657,2026-09-25,1,2,1,2026-08-18T10:00:00+05:30
gav_8c3c5532,gid_99f76657,2026-09-26,0,0,1.25,2026-08-18T10:00:00+05:30
gav_6971024d,gid_99f76657,2026-09-27,1,2,1.25,2026-08-18T10:00:00+05:30
gav_589387bc,gid_99f76657,2026-09-28,0,0,1,2026-08-18T10:00:00+05:30
gav_c559c0a0,gid_99f76657,2026-09-29,1,1,1,2026-08-18T10:00:00+05:30
gav_d49ff1b5,gid_99f76657,2026-09-30,1,1,1.1,2026-08-18T10:00:00+05:30
gav_23d2d541,gid_f0dd145e,2026-09-01,1,2,1.1,2026-08-18T10:00:00+05:30
gav_ef2f5d85,gid_f0dd145e,2026-09-02,1,1,1.1,2026-08-18T10:00:00+05:30
gav_1ce6300d,gid_f0dd145e,2026-09-03,1,2,1,2026-08-18T10:00:00+05:30
gav_9e214d22,gid_f0dd145e,2026-09-04,0,0,1.1,2026-08-18T10:00:00+05:30
gav_67729796,gid_f0dd145e,2026-09-05,1,2,1.25,2026-08-18T10:00:00+05:30
gav_acbc7ea1,gid_f0dd145e,2026-09-06,1,2,1.35,2026-08-18T10:00:00+05:30
gav_452c5cd5,gid_f0dd145e,2026-09-07,1,1,1,2026-08-18T10:00:00+05:30
gav_d6339ec7,gid_f0dd145e,2026-09-08,0,0,1.1,2026-08-18T10:00:00+05:30
gav_704e7a34,gid_f0dd145e,2026-09-09,1,1,1,2026-08-18T10:00:00+05:30
gav_fe6e1b6d,gid_f0dd145e,2026-09-10,1,1,1,2026-08-18T10:00:00+05:30
gav_f9c62589,gid_f0dd145e,2026-09-11,1,1,1,2026-08-18T10:00:00+05:30
gav_4a408d52,gid_f0dd145e,2026-09-12,1,1,1.25,2026-08-18T10:00:00+05:30
gav_0aadbb1e,gid_f0dd145e,2026-09-13,1,2,1.35,2026-08-18T10:00:00+05:30
gav_db68352e,gid_f0dd145e,2026-09-14,1,2,1,2026-08-18T10:00:00+05:30
gav_6a6d939f,gid_f0dd145e,2026-09-15,1,1,1,2026-08-18T10:00:00+05:30
gav_afe43b3c,gid_f0dd145e,2026-09-16,1,2,1.1,2026-08-18T10:00:00+05:30
gav_6c366cef,gid_f0dd145e,2026-09-17,1,1,1.1,2026-08-18T10:00:00+05:30
gav_3aa90123,gid_f0dd145e,2026-09-18,1,2,1.1,2026-08-18T10:00:00+05:30
gav_43172f0d,gid_f0dd145e,2026-09-19,1,2,1.35,2026-08-18T10:00:00+05:30
gav_984340fa,gid_f0dd145e,2026-09-20,1,2,1.25,2026-08-18T10:00:00+05:30
gav_2f5272cd,gid_f0dd145e,2026-09-21,1,2,1,2026-08-18T10:00:00+05:30
gav_621b4395,gid_f0dd145e,2026-09-22,0,0,1.1,2026-08-18T10:00:00+05:30
gav_b82ae085,gid_f0dd145e,2026-09-23,1,2,1,2026-08-18T10:00:00+05:30
gav_3babf534,gid_f0dd145e,2026-09-24,1,2,1,2026-08-18T10:00:00+05:30
gav_202742f4,gid_f0dd145e,2026-09-25,1,2,1,2026-08-18T10:00:00+05:30
gav_c4353a9e,gid_f0dd145e,2026-09-26,1,2,1.25,2026-08-18T10:00:00+05:30
gav_161739a2,gid_f0dd145e,2026-09-27,1,2,1.25,2026-08-18T10:00:00+05:30
gav_3e30f7c1,gid_f0dd145e,2026-09-28,1,1,1.1,2026-08-18T10:00:00+05:30
gav_1285221b,gid_f0dd145e,2026-09-29,1,2,1.1,2026-08-18T10:00:00+05:30
gav_93508e06,gid_f0dd145e,2026-09-30,1,1,1,2026-08-18T10:00:00+05:30
gav_9c9e845d,gid_60f2dce2,2026-09-01,0,0,1,2026-08-18T10:00:00+05:30
gav_8fc239a2,gid_60f2dce2,2026-09-02,1,1,1.1,2026-08-18T10:00:00+05:30
gav_b6cc0ecb,gid_60f2dce2,2026-09-03,1,1,1.1,2026-08-18T10:00:00+05:30
gav_b3593f58,gid_60f2dce2,2026-09-04,1,2,1,2026-08-18T10:00:00+05:30
gav_0b90624f,gid_60f2dce2,2026-09-05,1,1,1.25,2026-08-18T10:00:00+05:30
gav_9bf4359a,gid_60f2dce2,2026-09-06,1,1,1.35,2026-08-18T10:00:00+05:30
gav_745e68c8,gid_60f2dce2,2026-09-07,1,1,1.1,2026-08-18T10:00:00+05:30
gav_b929cdce,gid_60f2dce2,2026-09-08,1,2,1,2026-08-18T10:00:00+05:30
gav_affad6fa,gid_60f2dce2,2026-09-09,1,2,1,2026-08-18T10:00:00+05:30
gav_920f56d8,gid_60f2dce2,2026-09-10,0,0,1,2026-08-18T10:00:00+05:30
gav_aa643190,gid_60f2dce2,2026-09-11,0,0,1.1,2026-08-18T10:00:00+05:30
gav_1eba5a9d,gid_60f2dce2,2026-09-12,1,2,1.25,2026-08-18T10:00:00+05:30
gav_ec056abd,gid_60f2dce2,2026-09-13,1,1,1.25,2026-08-18T10:00:00+05:30
gav_00e9800c,gid_60f2dce2,2026-09-14,1,2,1,2026-08-18T10:00:00+05:30
gav_e1293c49,gid_60f2dce2,2026-09-15,1,2,1.1,2026-08-18T10:00:00+05:30
gav_7211bf5e,gid_60f2dce2,2026-09-16,0,0,1.1,2026-08-18T10:00:00+05:30
gav_53c57083,gid_60f2dce2,2026-09-17,1,2,1,2026-08-18T10:00:00+05:30
gav_def8f125,gid_60f2dce2,2026-09-18,1,1,1,2026-08-18T10:00:00+05:30
gav_73b78b7e,gid_60f2dce2,2026-09-19,1,2,1.25,2026-08-18T10:00:00+05:30
gav_9188963e,gid_60f2dce2,2026-09-20,1,1,1.25,2026-08-18T10:00:00+05:30
gav_9fb1d5de,gid_60f2dce2,2026-09-21,1,2,1,2026-08-18T10:00:00+05:30
gav_981e20b8,gid_60f2dce2,2026-09-22,1,1,1.1,2026-08-18T10:00:00+05:30
gav_1507d1ef,gid_60f2dce2,2026-09-23,0,0,1.1,2026-08-18T10:00:00+05:30
gav_f01cab2c,gid_60f2dce2,2026-09-24,0,0,1,2026-08-18T10:00:00+05:30
gav_003b1df0,gid_60f2dce2,2026-09-25,0,0,1,2026-08-18T10:00:00+05:30
gav_0bc0b119,gid_60f2dce2,2026-09-26,1,1,1.25,2026-08-18T10:00:00+05:30
gav_c016de4f,gid_60f2dce2,2026-09-27,1,2,1.35,2026-08-18T10:00:00+05:30
gav_4b5c19df,gid_60f2dce2,2026-09-28,0,0,1.1,2026-08-18T10:00:00+05:30
gav_3fa903d6,gid_60f2dce2,2026-09-29,1,2,1,2026-08-18T10:00:00+05:30
gav_5ee1fc33,gid_60f2dce2,2026-09-30,1,1,1,2026-08-18T10:00:00+05:30
gav_61559deb,gid_d5e89c6a,2026-09-01,1,2,1,2026-08-18T10:00:00+05:30
gav_6a9c9168,gid_d5e89c6a,2026-09-02,1,2,1,2026-08-18T10:00:00+05:30
gav_205eb2f1,gid_d5e89c6a,2026-09-03,1,2,1,2026-08-18T10:00:00+05:30
gav_7463ce53,gid_d5e89c6a,2026-09-04,0,0,1,2026-08-18T10:00:00+05:30
gav_a0efe779,gid_d5e89c6a,2026-09-05,0,0,1.25,2026-08-18T10:00:00+05:30
gav_7ab8b5d9,gid_d5e89c6a,2026-09-06,1,2,1.35,2026-08-18T10:00:00+05:30
gav_0a3c8caf,gid_d5e89c6a,2026-09-07,1,1,1.1,2026-08-18T10:00:00+05:30
gav_7e8aea90,gid_d5e89c6a,2026-09-08,0,0,1,2026-08-18T10:00:00+05:30
gav_d6785e61,gid_d5e89c6a,2026-09-09,0,0,1,2026-08-18T10:00:00+05:30
gav_21f33eeb,gid_d5e89c6a,2026-09-10,0,0,1.1,2026-08-18T10:00:00+05:30
gav_52821259,gid_d5e89c6a,2026-09-11,0,0,1,2026-08-18T10:00:00+05:30
gav_e6f8d336,gid_d5e89c6a,2026-09-12,1,2,1.35,2026-08-18T10:00:00+05:30
gav_0450a390,gid_d5e89c6a,2026-09-13,1,2,1.25,2026-08-18T10:00:00+05:30
gav_a5d5cd19,gid_d5e89c6a,2026-09-14,1,2,1,2026-08-18T10:00:00+05:30
gav_8ff3dcbc,gid_d5e89c6a,2026-09-15,0,0,1,2026-08-18T10:00:00+05:30
gav_6b7db89b,gid_d5e89c6a,2026-09-16,0,0,1.1,2026-08-18T10:00:00+05:30
gav_b51a3723,gid_d5e89c6a,2026-09-17,0,0,1.1,2026-08-18T10:00:00+05:30
gav_04132b42,gid_d5e89c6a,2026-09-18,1,2,1,2026-08-18T10:00:00+05:30
gav_76a277be,gid_d5e89c6a,2026-09-19,0,0,1.35,2026-08-18T10:00:00+05:30
gav_79f06948,gid_d5e89c6a,2026-09-20,0,0,1.35,2026-08-18T10:00:00+05:30
gav_0edfbe39,gid_d5e89c6a,2026-09-21,1,1,1,2026-08-18T10:00:00+05:30
gav_8b4e0219,gid_d5e89c6a,2026-09-22,1,1,1.1,2026-08-18T10:00:00+05:30
gav_373efd3c,gid_d5e89c6a,2026-09-23,1,2,1,2026-08-18T10:00:00+05:30
gav_c588c268,gid_d5e89c6a,2026-09-24,1,2,1,2026-08-18T10:00:00+05:30
gav_a380b790,gid_d5e89c6a,2026-09-25,1,1,1.1,2026-08-18T10:00:00+05:30
gav_10af94e7,gid_d5e89c6a,2026-09-26,0,0,1.35,2026-08-18T10:00:00+05:30
gav_2e80ca46,gid_d5e89c6a,2026-09-27,1,2,1.35,2026-08-18T10:00:00+05:30
gav_22790c33,gid_d5e89c6a,2026-09-28,0,0,1.1,2026-08-18T10:00:00+05:30
