room_type_id,hotel_id,name,max_occupancy,max_adults,max_children,bed_config,size_sqm,base_rate,currency,total_units,smoking_allowed,status,updated_at
rmt_d3c6ad86,htl_06d140bd,Heritage Room,2,2,0,twin,34,7199.14,INR,10,0,active,2026-08-18T10:00:00+05:30
rmt_79ee35e1,htl_06d140bd,Deluxe Garden View,3,3,1,twin,47,8998.93,INR,6,0,active,2026-08-18T10:00:00+05:30
rmt_654f0c33,htl_06d140bd,Twin Economy,2,2,0,bunk,47,11518.63,INR,24,0,active,2026-08-18T10:00:00+05:30
rmt_dc3186dc,htl_06d140bd,Executive,2,2,0,twin_double,56,15838.11,INR,18,0,active,2026-08-18T10:00:00+05:30
rmt_6499086b,htl_d8608c0c,Standard,2,2,0,king,36,1775.54,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_b7b6d115,htl_d8608c0c,Deluxe,2,2,0,king,51,2219.43,INR,25,0,active,2026-08-18T10:00:00+05:30
rmt_02c452c7,htl_d8608c0c,Deluxe Garden View,3,3,1,queen,57,2840.87,INR,11,0,active,2026-08-18T10:00:00+05:30
rmt_4f3886f8,htl_d8608c0c,Heritage Room,2,2,0,twin,33,3906.20,INR,22,0,active,2026-08-18T10:00:00+05:30
rmt_4d69cd72,htl_51d644a1,Heritage Room,2,2,0,double,34,2869.69,INR,7,0,active,2026-08-18T10:00:00+05:30
rmt_18090453,htl_51d644a1,Deluxe Garden View,3,3,1,queen,28,3587.11,INR,8,0,active,2026-08-18T10:00:00+05:30
rmt_062dea81,htl_51d644a1,Twin Economy,2,2,0,double,43,4591.50,INR,23,0,active,2026-08-18T10:00:00+05:30
rmt_a1a42253,htl_51d644a1,Standard,2,2,0,king,,6313.32,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_b2228b31,htl_34e56f8c,Standard,2,2,0,twin_double,44,3544.01,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_f01a2942,htl_34e56f8c,Family Room,4,3,2,single,22,4430.01,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_8ca5526e,htl_34e56f8c,Twin Economy,2,2,0,twin_double,58,5670.41,INR,23,0,active,2026-08-18T10:00:00+05:30
rmt_6b804d20,htl_34e56f8c,Deluxe Garden View,3,3,1,twin,52,7796.82,INR,15,1,active,2026-08-18T10:00:00+05:30
rmt_0b9115b1,htl_a4a12699,Heritage Room,2,2,0,bunk,30,6755.13,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_16e525d2,htl_a4a12699,Family Room,4,3,2,queen,37,8443.91,INR,17,0,active,2026-08-18T10:00:00+05:30
rmt_4da4065d,htl_a4a12699,Deluxe Garden View,3,3,1,twin,21,10808.21,INR,12,0,active,2026-08-18T10:00:00+05:30
rmt_1e984702,htl_a4a12699,Executive,2,2,0,king,41,14861.29,INR,13,0,active,2026-08-18T10:00:00+05:30
rmt_55863f33,htl_aacfaa8f,Executive,2,2,0,twin,35,1691.22,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_693809d0,htl_aacfaa8f,Premier Suite,4,3,2,bunk,,2114.03,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_69fb5df6,htl_aacfaa8f,Family Room,4,3,2,king,51,2705.96,INR,21,0,active,2026-08-18T10:00:00+05:30
rmt_169b1014,htl_aacfaa8f,Standard,2,2,0,twin,23,3720.69,INR,19,0,active,2026-08-18T10:00:00+05:30
rmt_093f1827,htl_82a0debc,Deluxe Garden View,3,3,1,bunk,37,5917.40,INR,12,0,active,2026-08-18T10:00:00+05:30
rmt_95c0de07,htl_82a0debc,Heritage Room,2,2,0,queen,,7396.75,INR,25,0,active,2026-08-18T10:00:00+05:30
rmt_466c1e57,htl_82a0debc,Premier Suite,4,3,2,king,43,9467.84,INR,19,0,active,2026-08-18T10:00:00+05:30
rmt_498722f7,htl_82a0debc,Deluxe,2,2,0,king,25,13018.28,INR,17,0,active,2026-08-18T10:00:00+05:30
rmt_d7fc6eac,htl_e64a06ef,Premier Suite,4,3,2,double,32,2231.61,INR,15,0,active,2026-08-18T10:00:00+05:30
rmt_ce7264de,htl_e64a06ef,Executive,2,2,0,king,47,2789.51,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_4d20e260,htl_e64a06ef,Twin Economy,2,2,0,twin_double,24,3570.57,INR,25,0,active,2026-08-18T10:00:00+05:30
rmt_039a87b5,htl_e64a06ef,Deluxe,2,2,0,king,35,4909.54,INR,17,0,active,2026-08-18T10:00:00+05:30
rmt_cbb0df6c,htl_f4edf35d,Heritage Room,2,2,0,bunk,49,3431.45,INR,16,0,active,2026-08-18T10:00:00+05:30
rmt_8a3c3697,htl_f4edf35d,Twin Economy,2,2,0,single,36,4289.31,INR,15,0,active,2026-08-18T10:00:00+05:30
rmt_8203d582,htl_f4edf35d,Family Room,4,3,2,king,27,5490.31,INR,20,0,active,2026-08-18T10:00:00+05:30
rmt_ebdd19b2,htl_f4edf35d,Standard,2,2,0,twin_double,51,7549.18,INR,13,1,active,2026-08-18T10:00:00+05:30
rmt_36ac3085,htl_6c7be3f3,Executive,2,2,0,bunk,52,4978.34,INR,18,0,active,2026-08-18T10:00:00+05:30
rmt_eaf663ad,htl_6c7be3f3,Family Room,4,3,2,twin_double,32,6222.92,INR,23,1,active,2026-08-18T10:00:00+05:30
rmt_c74c450f,htl_6c7be3f3,Deluxe,2,2,0,double,26,7965.34,INR,19,0,active,2026-08-18T10:00:00+05:30
rmt_d74c67e8,htl_6c7be3f3,Heritage Room,2,2,0,twin_double,37,10952.34,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_35141503,htl_9191e906,Premier Suite,4,3,2,bunk,21,10503.44,INR,15,0,active,2026-08-18T10:00:00+05:30
rmt_18d4ad52,htl_9191e906,Family Room,4,3,2,twin,55,13129.30,INR,7,0,active,2026-08-18T10:00:00+05:30
rmt_f3f78d57,htl_9191e906,Executive,2,2,0,double,26,16805.51,INR,21,0,active,2026-08-18T10:00:00+05:30
rmt_67dcd384,htl_9191e906,Deluxe Garden View,3,3,1,bunk,32,23107.57,INR,11,0,active,2026-08-18T10:00:00+05:30
rmt_56ab8a0a,htl_16ca75ac,Premier Suite,4,3,2,twin,17,1620.78,INR,19,0,active,2026-08-18T10:00:00+05:30
rmt_87180367,htl_16ca75ac,Executive,2,2,0,twin_double,,2025.97,INR,9,0,active,2026-08-18T10:00:00+05:30
rmt_68485f3b,htl_16ca75ac,Family Room,4,3,2,twin_double,53,2593.25,INR,14,0,active,2026-08-18T10:00:00+05:30
rmt_47767cdd,htl_16ca75ac,Standard,2,2,0,twin,36,3565.71,INR,18,0,active,2026-08-18T10:00:00+05:30
rmt_eb1e0a09,htl_fe66f74b,Family Room,4,3,2,double,23,3986.40,INR,7,0,active,2026-08-18T10:00:00+05:30
rmt_ce8c8b08,htl_fe66f74b,Deluxe,2,2,0,twin,31,4982.99,INR,12,0,active,2026-08-18T10:00:00+05:30
rmt_4d079c91,htl_fe66f74b,Heritage Room,2,2,0,twin_double,44,6378.23,INR,24,0,active,2026-08-18T10:00:00+05:30
rmt_74cb0474,htl_fe66f74b,Deluxe Garden View,3,3,1,twin,23,8770.07,INR,15,0,active,2026-08-18T10:00:00+05:30
rmt_bbe2ad27,htl_d149da7c,Premier Suite,4,3,2,single,28,2955.59,INR,17,0,active,2026-08-18T10:00:00+05:30
rmt_65be3cc2,htl_d149da7c,Deluxe Garden View,3,3,1,double,16,3694.48,INR,22,0,active,2026-08-18T10:00:00+05:30
rmt_32063ec7,htl_d149da7c,Heritage Room,2,2,0,queen,34,4728.94,INR,17,0,active,2026-08-18T10:00:00+05:30
rmt_67acf930,htl_d149da7c,Standard,2,2,0,double,,6502.29,INR,19,0,active,2026-08-18T10:00:00+05:30
rmt_e995c07b,htl_8ceae759,Executive,2,2,0,single,57,3448.86,INR,12,0,active,2026-08-18T10:00:00+05:30
rmt_fb35debd,htl_8ceae759,Family Room,4,3,2,queen,50,4311.07,INR,10,0,active,2026-08-18T10:00:00+05:30
rmt_81879895,htl_8ceae759,Standard,2,2,0,king,16,5518.17,INR,18,0,active,2026-08-18T10:00:00+05:30
rmt_a50b1a34,htl_8ceae759,Premier Suite,4,3,2,king,34,7587.49,INR,15,0,active,2026-08-18T10:00:00+05:30
