component_id,package_id,component_type,entity_type,entity_id,day_index,slot,title,quantity,price_delta,currency,is_optional,is_swappable,swap_group,updated_at
pcm_fd8dc0e5,pkg_2d89ae17,hotel,hotel,htl_245a6528,1,afternoon,The Old Niwas & Spa,1,3043.88,INR,0,1,hotel_ae17,2026-08-18T10:00:00+05:30
pcm_8e7f4c8c,pkg_2d89ae17,poi,poi,poi_a7aaf961,1,morning,Butterfly Reserve,1,262.71,INR,0,1,poi_ae17,2026-08-18T10:00:00+05:30
pcm_b2263094,pkg_2d89ae17,poi,poi,poi_f10b95a4,2,evening,Butterfly Reserve,1,768.16,INR,0,1,poi_ae17,2026-08-18T10:00:00+05:30
pcm_e064d672,pkg_2d89ae17,transfer,,,2,overnight,Airport transfer,1,1447.50,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_dd5302fd,pkg_2d89ae17,guide,,,3,overnight,Local guide (half day),1,1853.37,INR,1,1,guide_ae17,2026-08-18T10:00:00+05:30
pcm_5fe02b33,pkg_2d89ae17,meal,,,3,evening,Dinner at a local kitchen,1,1174.51,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_a5b68ad8,pkg_2d89ae17,entry_ticket,,,4,evening,Monument entry tickets,1,548.54,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_8ba7bd41,pkg_9653fa98,hotel,hotel,htl_afcb3490,1,morning,Amber Regency Resort,1,5887.01,NPR,0,1,hotel_fa98,2026-08-18T10:00:00+05:30
pcm_deb52aee,pkg_9653fa98,poi,poi,poi_a010c1ba,1,morning,Backwater Channel,1,628.07,NPR,0,1,poi_fa98,2026-08-18T10:00:00+05:30
pcm_82cc1aba,pkg_9653fa98,poi,poi,poi_e784aeca,2,morning,Night Food Bazaar,1,890.14,NPR,0,1,poi_fa98,2026-08-18T10:00:00+05:30
pcm_5ba2a548,pkg_9653fa98,transfer,,,2,evening,Airport transfer,1,1680.19,NPR,0,1,,2026-08-18T10:00:00+05:30
pcm_f1969dfb,pkg_9653fa98,guide,,,3,overnight,Local guide (half day),1,4168.05,NPR,1,1,guide_fa98,2026-08-18T10:00:00+05:30
