preference_id,user_id,preferred_languages,guide_language,interests,dietary_flags,accessibility_needs,preferred_currency,max_daily_budget,max_daily_budget_currency,pace,updated_at
prf_76eacf70,usr_6afe5712,"en-IN,pa",en-IN,"religious_pilgrim,wellness_yoga,museum_art,nature_lake",none,,INR,35627.61,INR,relaxed,2026-08-18T10:00:00+05:30
prf_f74f2d16,usr_05c1346c,"bn,hi",bn,"heritage_fort,adventure_trek",vegan,,INR,4832.99,INR,balanced,2026-08-18T10:00:00+05:30
prf_fbc50530,usr_c75aefa2,id,id,"beach_quiet,wildlife_birding,nature_garden",jain,,IDR,4383.03,IDR,balanced,2026-08-18T10:00:00+05:30
prf_172c4234,usr_f855344d,hi,hi,"nightlife_live,wildlife_sanctuary,nature_garden,heritage_temple",vegan,,INR,19130.43,INR,relaxed,2026-08-18T10:00:00+05:30
prf_f38257b6,usr_8cb2d440,ar,ar,"wellness_ayur,nightlife_bar,religious_pilgrim",vegetarian,hearing,QAR,7816.55,QAR,relaxed,2026-08-18T10:00:00+05:30
prf_e2fdddad,usr_c961aa19,en-IN,en-IN,"food_street,shopping_craft",halal,step_free,INR,,,relaxed,2026-08-18T10:00:00+05:30
prf_3125e26f,usr_580a5fe8,"en-IN,bn",,"food_cooking,beach_active,beach_quiet,heritage_ruins,adventure_water",halal,vision,INR,,,balanced,2026-08-18T10:00:00+05:30
prf_72b0dbb0,usr_e960bbc7,"mr,bn",mr,"heritage_fort,beach_quiet,shopping_craft",,,INR,16336.73,INR,packed,2026-08-18T10:00:00+05:30
prf_a0deeab5,usr_aa216995,"en-IN,bn",en-IN,"wildlife_sanctuary,religious_pilgrim,wildlife_safari,food_cooking,shopping_craft",vegetarian,,INR,11638.17,INR,balanced,2026-08-18T10:00:00+05:30
prf_d40d99b1,usr_14ca6dc1,"en-IN,te",en-IN,"religious_ghats,shopping_mall,nature_desert,shopping_bazaar,beach_quiet",jain,,LKR,10490.46,LKR,packed,2026-08-18T10:00:00+05:30
prf_1dccd3e2,usr_b3f2baa1,ml,,"heritage_ruins,museum_art",none,,INR,10146.84,INR,relaxed,2026-08-18T10:00:00+05:30
prf_efa9f7b2,usr_b34877aa,"kn,en-IN",kn,"nature_waterfall,beach_active",halal,,INR,2886.88,INR,packed,2026-08-18T10:00:00+05:30
prf_be24221f,usr_e1cd7b02,en-IN,en-IN,"nature_lake,food_cooking",halal,,INR,9172.21,INR,relaxed,2026-08-18T10:00:00+05:30
prf_962221eb,usr_dace411a,en-IN,en-IN,"nature_hill,religious_pilgrim,adventure_trek,nightlife_bar",,,MYR,7417.91,MYR,balanced,2026-08-18T10:00:00+05:30
prf_138b6c0f,usr_27018453,zh,zh,"food_fine,shopping_craft,religious_ghats,shopping_bazaar,nature_lake",vegan,hearing,SGD,22153.83,SGD,balanced,2026-08-18T10:00:00+05:30
prf_09979f29,usr_3f73d954,ml,,"shopping_mall,shopping_bazaar",vegetarian,,INR,9178.39,INR,balanced,2026-08-18T10:00:00+05:30
prf_30ec8dd1,usr_8e89346c,"hi,ml",hi,"adventure_trek,religious_ghats,nature_waterfall,food_cooking",halal,,INR,8975.38,INR,packed,2026-08-18T10:00:00+05:30
prf_e7267a74,usr_759b4145,"en-IN,bn",bn,"heritage_fort,food_street",vegan,hearing,INR,7340.75,INR,relaxed,2026-08-18T10:00:00+05:30
prf_978e6008,usr_a7881014,en-IN,en-IN,"wellness_yoga,shopping_mall,beach_active,food_cooking",halal,,LKR,5892.37,LKR,packed,2026-08-18T10:00:00+05:30
prf_ffd83171,usr_1981c2a0,en-IN,en-IN,"museum_science,beach_quiet",,,INR,21781.48,INR,balanced,2026-08-18T10:00:00+05:30
