media_id,hotel_id,room_type_id,media_role,file_path,alt_text,width_px,height_px,sort_order,updated_at
hmd_6081ac09,htl_06d140bd,,hero,media/hotels/htl_06d140bd/hero.jpg,"Hero view at Villa Mahal Resort, Jaipur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_e2a10723,htl_06d140bd,,exterior,media/hotels/htl_06d140bd/exterior.jpg,"Exterior view at Villa Mahal Resort, Jaipur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_1fa82428,htl_06d140bd,,lobby,media/hotels/htl_06d140bd/lobby.jpg,"Lobby view at Villa Mahal Resort, Jaipur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_00b58fa7,htl_06d140bd,rmt_79ee35e1,room,media/hotels/htl_06d140bd/room.jpg,"Room view at Villa Mahal Resort, Jaipur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_f753d8b2,htl_06d140bd,,dining,media/hotels/htl_06d140bd/dining.jpg,"Dining view at Villa Mahal Resort, Jaipur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_c74b5da8,htl_d8608c0c,,hero,media/hotels/htl_d8608c0c/hero.jpg,"Hero view at Hillview Regency Suites, Jaipur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_65681646,htl_d8608c0c,,exterior,media/hotels/htl_d8608c0c/exterior.jpg,"Exterior view at Hillview Regency Suites, Jaipur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_5a77e5c6,htl_d8608c0c,,lobby,media/hotels/htl_d8608c0c/lobby.jpg,"Lobby view at Hillview Regency Suites, Jaipur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_461210da,htl_d8608c0c,rmt_02c452c7,room,media/hotels/htl_d8608c0c/room.jpg,"Room view at Hillview Regency Suites, Jaipur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_5bac69d4,htl_d8608c0c,,dining,media/hotels/htl_d8608c0c/dining.jpg,"Dining view at Hillview Regency Suites, Jaipur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_49cb7a69,htl_51d644a1,,hero,media/hotels/htl_51d644a1/hero.jpg,"Hero view at Garden Orchard Homestay, Jaipur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_47425794,htl_51d644a1,,exterior,media/hotels/htl_51d644a1/exterior.jpg,"Exterior view at Garden Orchard Homestay, Jaipur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_ba0ae132,htl_51d644a1,,lobby,media/hotels/htl_51d644a1/lobby.jpg,"Lobby view at Garden Orchard Homestay, Jaipur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_dad84ac4,htl_51d644a1,rmt_062dea81,room,media/hotels/htl_51d644a1/room.jpg,"Room view at Garden Orchard Homestay, Jaipur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_32ecd01b,htl_51d644a1,,dining,media/hotels/htl_51d644a1/dining.jpg,"Dining view at Garden Orchard Homestay, Jaipur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_b028e9bd,htl_34e56f8c,,hero,media/hotels/htl_34e56f8c/hero.jpg,"Hero view at Villa Meadows Homestay, Jaipur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_e470cfdc,htl_34e56f8c,,exterior,media/hotels/htl_34e56f8c/exterior.jpg,"Exterior view at Villa Meadows Homestay, Jaipur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_b8a37438,htl_34e56f8c,,lobby,media/hotels/htl_34e56f8c/lobby.jpg,"Lobby view at Villa Meadows Homestay, Jaipur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_5f0aad05,htl_34e56f8c,rmt_8ca5526e,room,media/hotels/htl_34e56f8c/room.jpg,"Room view at Villa Meadows Homestay, Jaipur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_2395e8bd,htl_34e56f8c,,dining,media/hotels/htl_34e56f8c/dining.jpg,"Dining view at Villa Meadows Homestay, Jaipur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_69e4b1c4,htl_a4a12699,,hero,media/hotels/htl_a4a12699/hero.jpg,"Hero view at Riverside Kothi Inn, Jaipur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_3410770d,htl_a4a12699,,exterior,media/hotels/htl_a4a12699/exterior.jpg,"Exterior view at Riverside Kothi Inn, Jaipur",1600,1067,1,2026-08-18T10:00:00+05:30
