itinerary_id,trip_id,name,version,is_active,generated_by,total_cost,currency,total_duration_minutes,total_carbon_kg,optimizer_weights,status,created_at,updated_at
itn_ce1b90a3,trp_dba33c33,Lucknow plan v1,1,1,optimizer,10000.00,INR,900,10.1,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-04-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_16c7eede,trp_c183d169,Singapore plan v1,1,1,ai_planner,7513.69,INR,405,6.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_002365e6,trp_5c81e163,Bhuj plan v1,1,1,optimizer,26600.00,INR,1095,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-04-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_f23cf6a9,trp_13423f49,Rishikesh plan v1,1,1,agent,39150.00,LKR,915,11.3,,active,2026-07-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_47767831,trp_d0565c09,Bangkok plan v1,1,1,ai_planner,13552.50,INR,1185,13.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_3344f97a,trp_929cc01b,Male plan v1,1,0,agent,5943.50,INR,960,6.5,,active,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_0a33c60f,trp_929cc01b,Male plan v2,2,0,optimizer,5545.75,INR,960,6.5,,active,2026-05-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_bf68ccd3,trp_929cc01b,Male plan v3,3,1,ai_planner,5166.50,INR,555,5.3,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_8c4a5046,trp_5843b90d,Udaipur plan v1,1,1,ai_planner,27050.00,INR,1230,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_5a754929,trp_3901f712,Chennai plan v1,1,1,ai_planner,9050.00,INR,1050,10.8,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_00690415,trp_e842e287,Alleppey plan v1,1,0,agent,15900.00,INR,1185,11.3,,active,2026-07-18T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_5b11b149,trp_e842e287,Alleppey plan v2,2,0,optimizer,15250.00,INR,960,11.3,,active,2026-06-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_331d93e8,trp_e842e287,Alleppey plan v3,3,1,user,13550.00,INR,1275,12.5,,active,2026-06-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_0d6e3b50,trp_ebd8ca83,Mysuru plan v1,1,1,ai_planner,10250.00,INR,435,7.7,,active,2026-06-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_31f184e1,trp_31e8bc24,Kolkata plan v1,1,1,user,23250.00,INR,1440,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_ee374fd7,trp_9656ff69,Ooty plan v1,1,1,optimizer,16700.00,INR,840,12.5,,active,2026-07-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_9f802024,trp_358447d8,Tirupati plan v1,1,1,ai_planner,8900.00,INR,510,6.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_9e7e0841,trp_79c91f6b,Guwahati plan v1,1,1,user,13550.00,INR,690,7.7,,active,2026-06-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_b9380694,trp_4a195a07,Alleppey plan v1,1,1,ai_planner,1150.00,INR,765,6,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_703f4a2b,trp_27260494,Mumbai plan v1,1,1,user,15650.00,INR,1170,12.5,,active,2026-07-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_912aebbe,trp_0ea3db93,Manali plan v1,1,1,user,23200.00,INR,1275,11.3,,active,2026-04-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_bc458e12,trp_fc64f16e,Srinagar plan v1,1,1,optimizer,1900.00,INR,1065,12,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-07T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_d904cde6,trp_f996a70f,Aurangabad plan v1,1,1,user,20100.00,INR,1380,12.5,,active,2026-06-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_e052136a,trp_c6136493,Ahmedabad plan v1,1,0,user,22550.00,INR,1470,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_93d128f1,trp_c6136493,Ahmedabad plan v2,2,1,agent,22600.00,INR,1425,12.5,,active,2026-05-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_de2e2eca,trp_aaec0d9c,Alleppey plan v1,1,1,ai_planner,8800.00,INR,660,5.3,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_4316da01,trp_5162b851,Udaipur plan v1,1,1,optimizer,5600.00,INR,600,6.5,,active,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_0c556727,trp_909e59bc,Colombo plan v1,1,0,ai_planner,16007.50,CHF,750,10.1,,active,2026-05-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_961c8a9d,trp_909e59bc,Colombo plan v2,2,0,ai_planner,35177.50,CHF,1275,12.5,,active,2026-07-07T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_bed66798,trp_909e59bc,Colombo plan v3,3,1,user,30207.50,CHF,840,10.1,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_d8a4d37f,trp_799607b3,Panaji plan v1,1,1,agent,6800.00,INR,420,6.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_a04e7f51,trp_a00e9d0f,Leh plan v1,1,0,optimizer,1952700.00,IDR,1200,13.7,,active,2026-05-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_ad03947b,trp_a00e9d0f,Leh plan v2,2,0,user,1953000.00,IDR,1140,11.3,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_4f5236c5,trp_a00e9d0f,Leh plan v3,3,1,user,1952600.00,IDR,915,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_270a21cf,trp_55127690,Nainital plan v1,1,0,ai_planner,24400.00,INR,1155,12.5,,active,2026-07-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_1b1f34c3,trp_55127690,Nainital plan v2,2,0,ai_planner,24050.00,INR,1050,11.3,,active,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
