booking_id,user_id,trip_id,itinerary_id,booking_reference,channel,total_amount,currency,tax_amount,idempotency_key,status,confirmed_at,cancelled_at,cancellation_reason,created_at,updated_at
bkg_8d0849e2,usr_1a6892bf,,,8A3C2E,partner,12472.81,THB,1336.37,idem_df37f4e52c677e3b,failed,,,,2026-05-07T16:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_f3f14669,usr_65303113,trp_39d6963e,,2D8EF0,mobile_app,12698.25,AED,1360.53,idem_8c92a8b7c33d3521,confirmed,2026-05-04T19:47:00+05:30,,,2026-05-04T19:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_9fbe30f1,usr_b8779399,trp_53f18756,,BB898D,call_centre,21803.89,INR,2336.13,idem_80164db542eb6d3f,confirmed,2026-04-28T07:32:00+05:30,,,2026-04-28T07:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_71bc2fda,usr_bbd1ced8,trp_f4115fa9,,4B16EC,web,2413.11,INR,258.55,idem_a7214b69a75d54d1,confirmed,2026-04-27T03:02:00+05:30,,,2026-04-27T03:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_0fe06257,usr_b10b6018,trp_f18e9739,,C4BE73,mobile_app,7431.31,INR,796.21,idem_acb94ddd5b2d4b67,confirmed,2026-06-29T04:47:00+05:30,,,2026-06-29T04:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_1cead6ba,usr_40c95b13,trp_8c188c27,,9D4CDC,mobile_app,832.20,AED,89.16,idem_264bf3af9523189e,confirmed,2026-06-20T06:02:00+05:30,,,2026-06-20T06:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_191f5ae9,usr_6c3fae7b,,,24EBF1,web,82959.39,INR,8888.51,idem_caff200b0c04f6ac,pending,,,,2026-08-16T23:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_21080582,usr_c221a5aa,,,B07D68,mobile_app,26062.40,INR,2792.40,idem_559df0f97ac5863a,cancelled,,2026-07-02T06:30:00+05:30,Found a better rate,2026-06-13T06:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_c2904ebe,usr_e8f563b9,,,F79802,mobile_app,14624.56,INR,1566.92,idem_75f064543876f2f7,confirmed,2026-05-18T01:02:00+05:30,,,2026-05-18T01:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_195d6ea3,usr_7e340c2a,trp_2d23dd64,,725194,mobile_app,16194.20,INR,1735.09,idem_6343af87e49c9d2b,confirmed,2026-07-31T02:47:00+05:30,,,2026-07-31T02:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_b331a12e,usr_5527167d,trp_dbfef2b5,,3C424D,web,97616.62,INR,10458.92,idem_00ae1fad450b730e,refunded,,2026-08-12T02:30:00+05:30,Trip postponed,2026-07-28T02:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_b3f4b8fd,usr_ee57ec9a,trp_9f0e2c12,,219771,mobile_app,16451.08,INR,1762.62,idem_af0721494f9b7b63,confirmed,2026-05-17T07:32:00+05:30,,,2026-05-17T07:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_994e397a,usr_8d937b9e,trp_91d592b2,,185538,mobile_app,4378.10,INR,469.08,idem_349cab5e46fb6885,partially_confirmed,2026-08-02T16:47:00+05:30,,,2026-08-02T16:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_9377e970,usr_d8cab59f,trp_aa766de3,,D8954B,web,4465.18,INR,478.41,idem_50b5eeb320e40130,confirmed,2026-06-16T03:02:00+05:30,,,2026-06-16T03:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_370aa5b3,usr_9afd8eab,trp_04666cc6,,C8A6AE,mobile_app,9719.77,INR,1041.40,idem_6b63411de7a12af0,confirmed,2026-05-21T11:32:00+05:30,,,2026-05-21T11:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_74144e7b,usr_58d2b52f,trp_10a5cdc9,,BE258F,web,71355.68,INR,7645.25,idem_68064563fc0bb1ff,confirmed,2026-07-25T10:32:00+05:30,,,2026-07-25T10:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_1d1e89ab,usr_fedbd227,trp_1dd09ed0,,28CD0C,mobile_app,15320.69,INR,1641.50,idem_b0565bdbf25545c0,confirmed,2026-08-09T22:47:00+05:30,,,2026-08-09T22:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_144e317c,usr_04b21637,trp_10f1523f,,A68A9D,mobile_app,10594.23,INR,1135.10,idem_7017e32ee8856205,confirmed,2026-06-04T14:17:00+05:30,,,2026-06-04T14:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_aabdfc13,usr_fa7951d2,trp_9158f558,,CEAE96,web,47467.53,AED,5085.81,idem_4914eb2f953051c0,confirmed,2026-04-29T17:47:00+05:30,,,2026-04-29T17:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_1db61efe,usr_bac1ae76,trp_3d0f7e84,,B16C5B,mobile_app,21552.43,INR,2309.19,idem_5167e518492c7d2d,confirmed,2026-04-26T01:47:00+05:30,,,2026-04-26T01:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_69566a24,usr_fd8f7b49,,,4C6923,web,10501.94,INR,1125.21,idem_8bad4d92b519c3bb,confirmed,2026-08-14T11:02:00+05:30,,,2026-08-14T11:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_7383cc12,usr_ab44eb3e,trp_13f532df,,927756,mobile_app,35211.03,INR,3772.61,idem_a6d16126bc752614,pending,,,,2026-07-30T17:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_e0caef56,usr_322bb31e,,,1F5495,partner,22709.41,INR,2433.15,idem_ec74a33a656dc784,cancelled,,2026-06-15T23:00:00+05:30,Duplicate booking,2026-05-29T23:00:00+05:30,2026-08-18T10:00:00+05:30
